,company,wikidata_id,product_score,report_evidence_binary,report_evidence_content,average_sentiment_impactful,score_before_graph,graph_group_average,final_score
0,3M Co,Q159433,0,False,nothing,-16.44388888888888,-1,-1.0,-1.0
1,A O Smith Corp,Q4648219,0,False,nothing,2.3400000000000007,1,1.0,1.0
2,a2 Milk Co Ltd,Q22909318,0,False,nothing,-8.46,-1,-1.0,-1.0
3,ABB Ltd,Q52825,0,False,nothing,68.70545454545454,1,1.0,1.0
4,Abbott Laboratories,Q306764,0,True,Continue to drive diversity and inclusion strategies that create a meaningful employee experience and advance Abbotts culture to Achieve gender balance across our global management team with at least 45 female representation,-6.77,0,0.0,0.0
5,AbbVie Inc,Q14662364,0,False,nothing,-26.65,-1,-1.0,-1.0
6,ABN AMRO Bank NV,Q287471,0,False,nothing,-52.13,-1,-1.0,-1.0
7,Accenture PLC,Q338825,0,True,Our managers understand that gender equality is central to as a company and that we expect them to help us deliver on that purpose,49.09142857142857,2,2.0,2.0
8,Accenture PLC,Q338825,0,True,Our managers understand that gender equality is central to our purpose as that we expect them to help us deliver on that purpose,49.09142857142857,2,2.0,2.0
9,Accenture PLC,Q338825,0,True,As a result of our focus on creating a gender balanced workforce the current distribution is a total of 36 women in the workforce and 48 female new hires in is cal todays always on digital world it is our people their personal connection with clients and colleagues delivering so lu t ions with a uniquely human touch who distinguish Accent ure in the marketplace,49.09142857142857,2,2.0,2.0
10,Accenture PLC,Q338825,0,True,From gender equality and climate action to decent work and economic growth and quality education we are committed to contribute to the new sus tain able development set ambitious goals and make stra te gic investments to drive progress and performance across our organization workforce communities environment and supply chain,49.09142857142857,2,2.0,2.0
11,Accenture PLC,Q338825,0,True,With our global goal to achieve a gen der balanced workforce with 50 percent women and 50 percent men by 2025 we have even further increased our focus and ambition to ensure that all our people both women and men have equal cond i t ions and opportunities from the moment we hire them through all the milestones of their career,49.09142857142857,2,2.0,2.0
12,Accor SA,Q212599,0,False,nothing,160.8957142857143,1,1.0,1.0
13,Activision Blizzard Inc,Q344341,0,False,nothing,-88.65299999999999,-1,-1.0,-1.0
14,Adani Transmission Ltd,Q83472792,0,True,However certain issues which were flagged were addressed and adequate steps have GRI LA 5 SO 1 A dani Transmission Limited 67 NO POVERTY GOOD HEALTH AND WELL BEING GENDER EQUALITY QUALITY EDUCATION CLEAN WATER AND SANITATION DECENT WORK AND ECONOMIC GROWTH LIFE ON LAND been taken to address them as part of our future CSR focus areas are primarily linked to the following S DGs No Poverty SD G 1 Good Health and Well Being SD G 3 Quality Education SD G 4 Gender Equality SD G 5 Clean Water and Sanitation SD G 6 Decent Work and Economic Growth SD G 8 and Life on Land SD G 15,15.06,2,2.0,2.0
15,Adani Transmission Ltd,Q83472792,0,True,We have evolved alternative streams to support gender diversity by creating opportunities for women including initiatives toward skill development and empowerment such as Saks ham,15.06,2,2.0,2.0
16,adidas AG,Q3895,0,False,nothing,136.77517241379311,1,1.0,1.0
17,Adient PLC,Q26832896,0,False,nothing,-4.69,-1,-1.0,-1.0
18,Adobe Inc,Q11463,0,True,6 Spotlight Diversity Inclusion Adobe For metrics Employee parity In September FY 2019 we reaffirmed our commitment to global gender pay parity after initially achieving global gender pay parity in October minorities are those who identify as Black African American Hispanic Latino Native American Pacific Islander and or two or more races,46.590384615384615,2,2.0,2.0
19,Adobe Inc,Q11463,0,True,11 global gender pay parity Adobe Corporate Sustainability Report Part of our commitment to fostering a diverse and inclusive workforce the Adobe Digital Academy offers career switcher s the education and experience they need to launch successful careers in user experience UX design data science and web development,46.590384615384615,2,2.0,2.0
20,ADT Inc,Q290680,0,False,nothing,12.25,1,1.0,1.0
21,Adtalem Global Education Inc,Q5244154,1,False,nothing,5.67,2,2.0,2.0
22,Advance Auto Parts Inc,Q4686051,0,False,nothing,-4.515000000000001,-1,-1.0,-1.0
23,Advanced Drainage Systems Inc,Q60745531,0,False,nothing,0.3400000000000001,1,1.0,1.0
24,Advanced Micro Devices Inc,Q128896,0,False,nothing,56.13510204081632,1,1.0,1.0
25,Adyen NV,Q4686934,0,True,Gender balance is an area in which we actively work to do better with current metrics at 34 female team members and 29 of team lead positions filled up by women and 16 and 40 in our Management Board and Supervisory Board respectively,29.82,2,2.0,2.0
26,AECOM,Q2825507,0,False,nothing,-35.2,-1,-1.0,-1.0
27,AES Corp,Q291508,0,False,nothing,51.00000000000001,1,1.0,1.0
28,Ageas SA/NV,Q392338,0,False,nothing,-6.386,-1,-1.0,-1.0
29,Agilent Technologies Inc,Q393762,0,False,nothing,380.1575,1,1.0,1.0
30,AIA Group Ltd,Q1152465,0,True,We were also pleased to be included once again in the Bloomberg Gender Equality AND OPERATIONS Transformation through digitalis ation is a key enable r across all aspects of our business,-11.7,0,0.0,0.0
31,AIA Group Ltd,Q1152465,0,True,We strive to provide an inclusive workplace and are proud to be an employer of choice for women across the region where 39 percent of our senior leaders are represented by women,-11.7,0,0.0,0.0
32,AIB Group PLC,Q1642179,0,False,nothing,-12.522499999999996,-1,-1.0,-1.0
33,Air Liquide SA,Q407448,0,False,nothing,131.552,1,1.0,1.0
34,Ajinomoto Co Inc,Q412826,0,False,nothing,4.46,1,1.0,1.0
35,Akamai Technologies Inc,Q415598,0,False,nothing,264.46,1,1.0,1.0
36,Akbank TAS,Q416624,0,True,OUR HUMAN RESOURCES VISION GENDER DISTRIBUTION Ak bank embraces the p rnc ple of equal ty of op port un ty w th out any dsc rm nat on on the bass of gender or age,0.0,0,0.0,0.0
37,Akbank TAS,Q416624,0,True,The table that shows the Banks approach and con tr but on to the Un ted Na tons Su stan able Development Goals as follows Su stan able Development Goals Relevant Sect on u al ty Edu caton Our Dst nc tv e Employees p Gender Equal ty Our Dst nc tv e Employees p lean Water Hy gene and Pub lc Health Our Opera tons and the En vr on ment p,0.0,0,0.0,0.0
38,Akbank TAS,Q416624,0,True,M A N AG E M E N T 85 OUR DISTINCTIVE EMPLOYEES AK BANK 2017 SUSTAINABILITY REPORT AK BANK EMBRACES THE PRINCIPLE OF EQUALITY OF OPPORTUNITY WITHOUT ANY DISCRIMINATION ON THE BASIS OF GENDER OR E,0.0,0,0.0,0.0
39,Akbank TAS,Q416624,0,True,Gender Equality Our Distinctive Employees Pages 80 1026,0.0,0,0.0,0.0
40,Akzo Nobel NV,Q50912,0,False,nothing,10.345,1,1.0,1.0
41,Albemarle Corp,Q127074,0,True,Highlights of Inclusion and Diversity Activities Among our efforts to continue building an inclusive diverse workplace in 2019 was increasing the representation of women on our board of directors resulting in a board that is 50 diverse,-2.88,0,0.0,0.0
42,Alcon Inc,Q684825,0,True,To address that bias Alc on is changing our product design approach to be more inclusive of women,21.875,2,1.5,2.0
43,Alexandria Real Estate Equities Inc,Q48739877,0,False,nothing,1.404,1,0.5,1.0
44,Alfa Laval AB,Q686030,0,True,2022 02 03 Female leaders in our industry Alfa Laval s Diversity for growth strategy includes equal career opportunities,10.59666666666667,2,2.0,2.0
45,Alibaba Group Holding Ltd,Q1359568,0,False,nothing,-105.8629411764706,-1,-0.42857142857142855,-1.0
46,Allegion plc,Q16738121,0,False,nothing,23.11,1,1.0,1.0
47,Allianz SE,Q487292,0,True,We take a strong stance on gender equality diversity and inclusion training and development employee engagement and health and well being,-13.476363636363637,0,1.0,0.5
